label,code
SE,model1 Sequential model1 Conv2D 16 kernel_size 3 3 strides 1 1 padding same activation relu kernel_initializer he_uniform input_shape 28 28 1 ))) model1 MaxPooling2D pool_size 2 2 padding same model1 Conv2D 32 kernel_size 3 3 strides 4 4 padding same activation relu kernel_initializer he_uniform model1 MaxPooling2D pool_size 2 2 padding same model1 Flatten model1 Dense 100 activation relu kernel_initializer he_uniform model1 Dense 64 activation relu kernel_initializer he_uniform model1 Dense 10 activation softmax model1 compile optimizer Adam loss categorical_crossentropy metrics accuracy history1 model1 fit x_train y_train batch_size 32 epochs 10 validation_data x_val y_val 
SE,Sequential Conv2D 32 kernel_size 4 4 strides 2 2 padding same input_shape 28 28 1 activation relu kernel_initializer glorot_uniform MaxPooling2D pool_size 2 2 padding same Flatten Dense 128 activation relu Dense 10 activation softmax compile loss categorical_crossentropy optimizer rmsprop metrics accuracy fit x_train1 y_train1 validation_data x_val y_val epochs 1 
SE,cnn tf keras models Sequential cnn tf keras layers Conv2D 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation relu input_shape =[ 150 150 3 ])) cnn tf keras layers MaxPool2D pool_size 2 2 strides 2 2 padding same cnn tf keras layers Conv2D 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation relu cnn tf keras layers MaxPool2D pool_size 2 2 strides 2 2 padding same cnn tf keras layers Flatten cnn tf keras layers Dense 128 activation relu cnn tf keras layers Dense 8 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics [' accuracy cnn fit x train_gen validation_data val_gen epochs 15 
SE,"Sequential tf keras layers experimental preprocessing Rescaling 1 ./ 255 Conv2D 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 224 224 3 ))) Activation (' relu MaxPooling2D pool_size 2 2 strides 2 2 padding same Conv2D 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform Activation (' relu MaxPooling2D pool_size 2 2 strides 2 2 padding same Conv2D 128 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform Activation (' relu MaxPooling2D pool_size 2 2 strides 2 2 padding same Flatten Dense 256 Activation (' relu Dropout 0 2 Dense 9 Activation (' softmax compile optimizer adam loss categorical_crossentropy metrics =["" accuracy ""]) hst fit X_train validation_data X_val epochs EPOCHS "
SE,"cnn Sequential cnn Conv2D 64 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform input_shape 150 150 3 ))) cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 64 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 128 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 128 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Flatten cnn Dropout 0 2 cnn Dense 512 activation relu cnn Dense 3 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics =["" accuracy ""]) history cnn fit train_generator validation_data test_generator epochs 10 steps_per_epoch 20 validation_steps 3 callbacks =[ callback ]) "
SE,"cnn Sequential cnn Conv2D 64 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform input_shape 150 150 3 ))) cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 64 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 128 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 128 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Flatten cnn Dropout 0 2 cnn Dense 512 activation relu cnn Dense 3 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics =["" accuracy ""]) history cnn fit train_generator validation_data test_generator epochs 10 steps_per_epoch 20 validation_steps 3 callbacks =[ callback ]) "
SE,"Sequential tf keras layers experimental preprocessing Rescaling 1 ./ 255 Conv2D 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 224 224 3 ))) Activation (' relu MaxPooling2D pool_size 2 2 strides 2 2 padding same Conv2D 64 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform Activation (' relu MaxPooling2D pool_size 2 2 strides 2 2 padding same Conv2D 128 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform Activation (' relu MaxPooling2D pool_size 2 2 strides 2 2 padding same Flatten Dense 256 Activation (' relu Dropout 0 2 Dense 9 Activation (' softmax compile optimizer adam loss categorical_crossentropy metrics =["" accuracy ""]) hst fit X_train validation_data X_val epochs EPOCHS "
SE,"cnn Sequential cnn Conv2D 64 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform input_shape 150 150 3 ))) cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 64 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 128 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Conv2D 128 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform cnn MaxPool2D pool_size 2 2 strides 2 2 padding same cnn Flatten cnn Dropout 0 2 cnn Dense 512 activation relu cnn Dense 3 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics =["" accuracy ""]) history cnn fit train_generator validation_data test_generator epochs 10 steps_per_epoch 20 validation_steps 3 callbacks =[ callback ]) "
SE,Sequential Conv2D 32 kernel_size 4 4 strides 3 3 padding same input_shape 28 28 1 activation relu kernel_initializer glorot_uniform MaxPooling2D pool_size 2 2 padding same Flatten Dense 128 activation relu Dense 10 activation softmax compile loss categorical_crossentropy optimizer rmsprop metrics accuracy fit x_train1 y_train1 validation_data x_val y_val epochs 1 
SE,model1 Sequential model1 Conv2D 16 kernel_size 3 3 strides 4 4 padding same activation relu kernel_initializer he_uniform input_shape 28 28 1 ))) model1 MaxPooling2D pool_size 2 2 padding same model1 Conv2D 32 kernel_size 3 3 strides 1 1 padding same activation relu kernel_initializer he_uniform model1 MaxPooling2D pool_size 2 2 padding same model1 Flatten model1 Dense 100 activation relu kernel_initializer he_uniform model1 Dense 64 activation relu kernel_initializer he_uniform model1 Dense 10 activation softmax model1 compile optimizer Adam loss categorical_crossentropy metrics accuracy history1 model1 fit x_train y_train batch_size 32 epochs 10 validation_data x_val y_val 
