code,label
model1 sequential model1 conv2d 16 kernel_size 3 3 strides 1 1 padding same activation relu kernel_initializer he_uniform input_shape 28 28 1  model1 maxpooling2d pool_size 2 2 padding same model1 conv2d 32 kernel_size 3 3 strides 4 4 padding same activation relu kernel_initializer he_uniform model1 maxpooling2d pool_size 2 2 padding same model1 flatten model1 dense 100 activation relu kernel_initializer he_uniform model1 dense 64 activation relu kernel_initializer he_uniform model1 dense 10 activation softmax model1 compile optimizer adam loss categorical_crossentropy metrics accuracy history1 model1 fit x_train y_train batch_size 32 epochs 10 validation_data x_val y_val ,SE
sequential conv2d 32 kernel_size 4 4 strides 2 2 padding same input_shape 28 28 1 activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same flatten dense 128 activation relu dense 10 activation softmax compile loss categorical_crossentropy optimizer rmsprop metrics accuracy fit x_train1 y_train1 validation_data x_val y_val epochs 1 ,SE
cnn tf keras models sequential cnn tf keras layers conv2d 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation relu input_shape  150 150 3  cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers conv2d 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation relu cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers flatten cnn tf keras layers dense 128 activation relu cnn tf keras layers dense 8 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy cnn fit x train_gen validation_data val_gen epochs 15 ,SE
sequential tf keras layers experimental preprocessing rescaling 1  255 conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 224 224 3  activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 128 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same flatten dense 256 activation  relu dropout 0 2 dense 9 activation  softmax compile optimizer adam loss categorical_crossentropy metrics  accuracy  hst fit x_train validation_data x_val epochs epochs ,SE
cnn sequential cnn conv2d 64 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform input_shape 150 150 3  cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 64 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn flatten cnn dropout 0 2 cnn dense 512 activation relu cnn dense 3 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy  history cnn fit train_generator validation_data test_generator epochs 10 steps_per_epoch 20 validation_steps 3 callbacks  callback  ,SE
cnn sequential cnn conv2d 64 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform input_shape 150 150 3  cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 64 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn flatten cnn dropout 0 2 cnn dense 512 activation relu cnn dense 3 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy  history cnn fit train_generator validation_data test_generator epochs 10 steps_per_epoch 20 validation_steps 3 callbacks  callback  ,SE
sequential tf keras layers experimental preprocessing rescaling 1  255 conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 224 224 3  activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 64 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 128 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same flatten dense 256 activation  relu dropout 0 2 dense 9 activation  softmax compile optimizer adam loss categorical_crossentropy metrics  accuracy  hst fit x_train validation_data x_val epochs epochs ,SE
cnn sequential cnn conv2d 64 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform input_shape 150 150 3  cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 64 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn flatten cnn dropout 0 2 cnn dense 512 activation relu cnn dense 3 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy  history cnn fit train_generator validation_data test_generator epochs 10 steps_per_epoch 20 validation_steps 3 callbacks  callback  ,SE
sequential conv2d 32 kernel_size 4 4 strides 3 3 padding same input_shape 28 28 1 activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same flatten dense 128 activation relu dense 10 activation softmax compile loss categorical_crossentropy optimizer rmsprop metrics accuracy fit x_train1 y_train1 validation_data x_val y_val epochs 1 ,SE
model1 sequential model1 conv2d 16 kernel_size 3 3 strides 4 4 padding same activation relu kernel_initializer he_uniform input_shape 28 28 1  model1 maxpooling2d pool_size 2 2 padding same model1 conv2d 32 kernel_size 3 3 strides 1 1 padding same activation relu kernel_initializer he_uniform model1 maxpooling2d pool_size 2 2 padding same model1 flatten model1 dense 100 activation relu kernel_initializer he_uniform model1 dense 64 activation relu kernel_initializer he_uniform model1 dense 10 activation softmax model1 compile optimizer adam loss categorical_crossentropy metrics accuracy history1 model1 fit x_train y_train batch_size 32 epochs 10 validation_data x_val y_val ,SE
model1 sequential model1 conv2d 32 kernel_size 4 4 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 32 32 3 activation relu model1 maxpool2d pool_size 2 2 padding same model1 conv2d 32 kernel_size 4 4 strides 3 3 padding same kernel_initializer glorot_uniform input_shape 32 32 3 activation relu model1 maxpool2d pool_size 2 2 padding same model1 flatten model1 dense 256 activation relu model1 dense 10 activation softmax model1 compile loss categorical_crossentropy optimizer adam metrics accuracy history1 model1 fit x_train y_train_cat epochs 20 validation_data x_test y_test_cat ,SE
sequential tf keras layers experimental preprocessing rescaling 1  255 conv2d 32 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform input_shape 224 224 3  activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 128 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same flatten dense 256 activation  relu dropout 0 2 dense 9 activation  softmax compile optimizer adam loss categorical_crossentropy metrics  accuracy  hst fit x_train validation_data x_val epochs epochs ,SE
